Algorithm,Path Cost,Nodes Visited
BFS,5,15
BFS,3,16
BFS,5,26
BFS,2147483647,32
BFS,7,48
BFS,9,46
BFS,2147483647,56
BFS,13,71
BFS,2147483647,72
BFS,22,32
DFS,4,27
DFS,12,23
DFS,16,21
DFS,2147483647,32
DFS,51,25
DFS,60,30
DFS,2147483647,56
DFS,12,53
DFS,2147483647,72
DFS,53,29
BestFirst,1,6
BestFirst,1,4
BestFirst,1,6
BestFirst,2147483647,32
BestFirst,1,9
BestFirst,1,6
BestFirst,2147483647,56
BestFirst,1,14
BestFirst,2147483647,72
BestFirst,5,5
AStar,4,6
AStar,3,4
AStar,5,6
AStar,2147483647,32
AStar,7,12
AStar,10,12
AStar,2147483647,56
AStar,12,17
AStar,2147483647,72
AStar,18,44
SMAStar,2147483647,5
SMAStar,2147483647,4
SMAStar,2147483647,4
SMAStar,2147483647,5
SMAStar,2147483647,4
SMAStar,2147483647,5
SMAStar,2147483647,5
SMAStar,2147483647,4
SMAStar,2147483647,5
SMAStar,2147483647,5
